# Data on the measured reflection coefficient for the case that the loudspeaker is attached to the measurement section (Small Pipe) 
# DataFile 2014-09_RigidPlate\LongRange1Pa_NoProtGrid\ 
# f, abs(R), deg(R), Sr, Stheta
f 	 mag 	 phase 	 Sr 	 Stheta 
1.000000e+02 	 9.983378e-01 	 4.981335e-02 	 4.012574e-03 	 9.866375e-02
1.100000e+02 	 9.992477e-01 	 4.975545e-02 	 2.609449e-03 	 5.696980e-02
1.200000e+02 	 9.990108e-01 	 -2.696072e-02 	 7.455629e-04 	 8.399601e-02
1.300000e+02 	 9.990371e-01 	 4.970749e-03 	 7.350448e-05 	 5.185764e-02
1.400000e+02 	 9.990548e-01 	 -2.472142e-02 	 1.106455e-04 	 3.269153e-02
1.500000e+02 	 9.990961e-01 	 -1.510222e-03 	 1.241015e-04 	 3.091766e-02
1.600000e+02 	 9.990103e-01 	 -4.289456e-02 	 2.024823e-04 	 3.071268e-02
1.700000e+02 	 9.990224e-01 	 -3.242660e-02 	 2.094784e-04 	 3.145234e-02
1.800000e+02 	 9.989800e-01 	 -7.888540e-02 	 3.753380e-04 	 3.373551e-02
1.900000e+02 	 9.990523e-01 	 -2.019414e-02 	 7.085418e-04 	 3.838588e-02
2.000000e+02 	 9.990082e-01 	 -3.152405e-02 	 1.129262e-03 	 4.618339e-02
2.100000e+02 	 9.988409e-01 	 -7.941974e-03 	 1.720333e-03 	 4.264094e-02
2.200000e+02 	 9.988907e-01 	 7.502712e-03 	 1.497058e-03 	 1.072224e-01
2.300000e+02 	 9.990481e-01 	 -1.171683e-02 	 7.762609e-04 	 1.613201e-01
2.400000e+02 	 9.988329e-01 	 2.207642e-03 	 3.292457e-03 	 5.096240e-02
2.500000e+02 	 9.986119e-01 	 -5.417332e-02 	 1.224724e-03 	 2.098229e-01
2.600000e+02 	 9.985674e-01 	 -1.817755e-02 	 9.097313e-04 	 2.371946e-01
2.700000e+02 	 9.989839e-01 	 -2.637214e-03 	 1.033356e-03 	 2.531476e-01
